Space Marines ; Codex V9 (Version oct 2020) + FaQ V9; icon:check[]
Deathwatch ; Codex V9 (Version nov 2020) + FaQ V9; icon:ban[]
Space Wolves ;  Codex V9 (Version nov 2020); icon:ban[]
Blood Angels ; Codex V9  (Version déc 2020); icon:ban[]
Dark Angels ; Codex V9  (Version mars 2021); icon:check[]
Adeptus Mechanicus ; Codex V9  (Version mai 2021) + FaQ V9; icon:ban[]
Adepta Sororitas ; Codex V9  (Version juin 2021) + FaQ V9; icon:check[]
Grey Knight ; Codex V9  (Version aout 2021) + FaQ V9; icon:ban[]
Black Templars ; Codex V9  (Version nov 2021) + FaQ V9; icon:check[]
Adeptus Custodes ; Codex V9  (Version déc 2021) + FaQ V9; icon:check[]
Imperial Knights ; Codex V9  (Version Mai 2022); icon:ban[]
Astra Militarum;Codex V9 (Cadian - Catachan - Valhallan - Vostroyan - Armageddon - Tallarn - Militarrum Tempestus – Modian) + FaQ V9; icon:check[]
